,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
61619,1.2451379,0.17855734,-2.9336333,-0.07027,3.6435676,3.0880694,2.9844992,2.0143194,-4.5266795,2.8264937,3.2021594,1.7504841,-1.7489849,-6.006531,-1.0515687,1.9004484
8091,-3.2148492,3.4145539,0.8751874,-2.824576,-0.74295485,2.5661883,0.92272764,-0.22524457,0.16477913,-1.0752237,-0.003039427,2.5806568,0.19928633,1.9485214,6.188575,2.3282225
30101,-2.9794295,2.1338367,-1.3396766,0.52893966,2.0886874,5.6204243,-0.79062605,1.2177476,-1.6322799,-1.4241931,0.78209317,1.3602912,0.8027823,-0.17519107,0.79295594,2.31037
16838,-2.0494876,1.6759359,-0.09683666,-2.7088506,-0.46243626,-3.3949194,5.21405,0.8336487,-2.7965236,-4.1467032,3.1847281,1.7162801,-1.7334533,-3.477342,2.265156,0.9567861
14485,0.4359485,-1.0954901,-6.3275094,-7.8365912,7.0161757,-5.9712834,7.2095084,3.2724178,0.35197333,0.77278316,-3.427907,-1.4050997,-0.6834004,0.12663934,-12.425447,4.931306
31261,-2.8096855,1.6423359,-2.02265,-1.4634733,2.7964087,1.9218794,1.0577735,1.490938,-1.737118,-1.2221277,1.6333216,1.3688287,-1.8292589,-2.4197316,4.7478585,2.1453567
80580,2.5326204,-0.10813135,-1.2979525,0.9760272,3.9201667,7.617654,3.8297198,0.8864233,-4.1742377,1.6348853,-5.8517447,0.16485375,-0.9132488,1.5714839,-3.0270462,1.3393723
44164,-0.9443378,1.987695,0.055903237,0.45511508,2.0305374,7.2932,1.7767104,1.5726745,-3.7133915,2.1804743,-3.7202954,-0.64528215,-0.91168165,3.212418,1.9788661,2.4082358
9004,-0.66429204,0.120927036,-0.79751384,-2.2163584,0.12401422,2.0347776,4.96454,-0.31465566,-0.033696588,-2.4844632,-5.22554,2.667158,-0.77335644,3.1823492,0.72096044,2.3259985
8586,-0.50989103,-0.66319656,-0.64365035,-1.4067025,0.8304729,-2.2423203,6.426918,3.2213037,0.17394525,-9.480628,-1.3417015,2.0244257,-1.0116047,-0.31081346,-6.497868,-1.820493
42385,1.3485316,0.8927013,-0.41182974,1.7814271,1.968172,1.1100488,2.6604288,1.6356922,-4.299145,-4.19774,2.807132,0.48372015,0.76649684,-1.887608,0.9940425,0.5650793
47921,0.0004553385,-0.17248857,-3.1438618,0.0753333,4.290492,3.4609103,1.8647604,0.64080703,-1.912396,2.2391777,0.30547208,2.6443622,-2.149491,-3.571607,1.3028345,2.8713145
468,-1.1297066,3.3640006,-1.4654329,-3.2587557,0.29731846,-0.16757686,4.500563,1.3115102,-1.0594381,-1.7916776,2.2165308,2.9170358,-1.5616212,-2.531107,4.7876678,1.2440873
10884,2.5970294,3.569925,-0.41617385,-5.7850366,2.255537,3.8053365,-5.0964684,-0.8057245,1.3328846,0.826043,-0.4672175,-1.0327767,-1.9901788,-9.044987,13.125991,1.275724
13374,-0.06954858,1.4071754,-4.5319815,-3.5835528,1.9151609,0.8163871,4.2255635,0.53859615,2.0351686,0.019824177,-1.5268962,4.3158574,-2.834315,-0.46532723,4.9361796,2.3245444
28164,2.3969793,1.1734657,-4.4043083,-8.636222,2.551206,-1.3891398,2.4769166,2.1283786,-1.888005,3.7349668,3.9688296,1.7115785,0.14809929,0.5139649,-1.2994494,6.1127014
65030,-0.22096649,0.7294779,-0.26601353,1.6962004,1.7375689,2.3966973,0.47667032,0.6993005,-1.213878,-3.9278333,4.5694985,1.9486185,2.7634504,0.07377401,1.1677997,-0.32386434
27193,0.792267,-1.6285658,-3.4553294,-0.6714147,3.4425423,4.760129,5.8292003,1.1686964,0.6616504,1.6729677,-4.8641233,0.61170304,-2.1921945,-2.5665567,-5.0774474,3.6107638
10186,-0.22943601,1.3488045,-1.0198922,-2.9763982,0.008399002,-2.4455817,7.099877,1.4747553,-3.2837067,-2.7452266,0.19673505,1.897664,-1.9894092,-1.6740477,2.8969939,2.0928452
23720,-2.6245897,0.1981628,0.68063384,-2.1334093,-1.8049242,-1.2633616,3.8766463,0.90328676,-2.3773699,-2.9483833,-0.6073495,3.2673159,0.7199873,3.4038963,4.3500605,1.5580949
50362,4.1593556,-1.2007346,-2.0910919,-2.2653172,5.430106,0.5327594,0.3788957,2.6800807,-4.541905,1.3068755,1.9450357,-1.2972453,0.8017447,-7.1017313,-2.4244568,3.2220972
67760,1.8989676,-0.7766821,3.3210258,1.835067,-1.499929,1.4521573,2.093352,-1.333332,-2.375907,-0.20504293,-1.4397236,0.86125064,1.6729604,4.0911717,2.8343136,-0.63108116
19687,-2.714831,1.9398795,-3.67243,-2.9886508,-0.07746727,0.61373097,3.8325818,0.60451347,0.60742813,-1.8676955,-5.5646086,1.332528,-4.898231,-0.80546874,1.639083,3.2970278
42491,3.4403455,0.6574044,1.026846,1.970376,1.9101193,4.2820306,1.6447481,0.65031976,-4.4378753,-1.0371853,0.8716153,1.3067324,1.0345801,0.68028,2.4634457,0.5612537
30785,-0.16441098,-2.5754473,-3.5311852,-3.118671,2.8942077,1.6689163,4.654156,2.2030432,0.2913174,2.958219,-0.34301275,0.74799657,-1.704118,-2.0866437,-3.937085,6.5593786
6153,-4.411301,0.73931557,-1.0784419,-2.5592356,-0.5916062,2.657884,2.436743,0.75082636,0.5976284,-2.6389046,-3.8939967,2.95434,-2.2217333,2.5565927,0.39288405,3.484239
2207,2.2694738,-2.1449876,-4.05091,-3.8619323,5.3234973,-0.4703461,4.89958,2.3910737,0.47080487,0.99437225,-5.063994,0.53547895,-0.67678833,-0.3562902,-6.98366,5.947069
75969,-1.2201724,1.204,-1.9352863,0.19683939,2.042218,5.4659605,2.0788796,2.3049104,-1.072397,-3.9354262,0.5406313,1.8032035,-0.8723687,-0.21644267,-5.17354,1.9363286
28041,-2.3187425,0.43288022,-4.84144,-0.6910848,2.0630522,1.3653437,2.748448,2.0365646,-1.1656629,-0.23061097,1.5546788,4.2197394,-1.1795282,-4.42515,-1.2801098,3.2176292
83653,3.11575,1.1096867,-1.5951252,0.81611043,2.3762279,1.7062289,2.406498,1.466702,-4.858013,-2.8443165,3.0011425,2.725256,-0.541818,-2.6677976,1.2862159,0.9848111
71286,1.432602,0.09858245,0.45201823,1.7580447,1.8735846,-0.22149254,1.9283051,0.9324415,-5.162934,-4.423583,5.2903023,1.5632603,1.1252168,-1.7354441,0.77584237,-0.68920183
13035,-1.8436064,3.3668058,-3.0948951,-6.0592904,-0.18403447,3.0223188,-1.1800784,2.0358455,4.3706307,1.3008202,-2.1472917,4.5101523,-1.3501601,-0.3979111,-1.601445,5.0906878
11723,2.7163131,-1.0576301,-3.386966,-3.7732024,3.8690355,1.5836215,-3.1845734,2.8733323,0.64693636,-1.540846,4.686543,0.41104367,2.0366933,-7.3147836,1.6562828,0.53737974
58472,4.5357966,-0.5462689,0.9952379,1.9679513,1.687947,3.6432543,4.0468125,0.91139996,-2.2336228,-3.9130678,-6.1435866,0.8837975,-0.45205835,3.1734045,-4.074292,-1.2223037
28323,-0.9664432,-0.71842015,-1.1077125,-0.5461527,1.7310783,2.9952354,0.110124946,-0.21262072,-0.08110519,-4.900463,-1.4546158,0.99317575,0.16896625,2.2296433,2.2678478,0.9630305
5056,-0.8052104,2.0811582,-2.9247015,-2.6814027,-0.18965977,6.554599,3.1187947,2.0022311,3.770481,-0.091160804,-5.731829,1.1398494,-4.2750163,0.21585241,-0.756025,3.4829137
18401,0.26952842,3.710477,0.4398578,-2.1543188,-3.148585,3.153028,5.910644,1.003613,2.578618,-4.18419,-0.7382914,2.4705925,-0.8885484,3.1926334,-1.109235,1.6305999
91062,-0.5415732,2.5884588,-1.359017,-0.20038517,3.1157362,4.606087,-1.097958,1.6328137,-2.6903071,-0.9126526,2.049931,0.28865045,-1.1145864,-0.5476464,5.9394135,1.7981788
26700,-1.6036986,3.2679775,-3.563725,-3.168995,0.37854147,1.5341872,2.478315,0.57228416,3.852387,-4.2618284,-1.4172993,5.671564,-3.5466022,-0.27240497,1.8079728,2.1775289
14824,0.59035534,-1.3614016,-2.879582,-7.3249445,1.5970702,-0.46489006,-1.0086871,1.8169832,3.5962288,-4.2033496,-3.3948216,2.768197,1.6549025,-4.57162,-1.7342999,3.2578583
24868,6.9391823,-0.9431491,-4.481903,-8.296878,3.179913,-4.1945076,0.38876516,1.3462,2.744739,-3.1743388,2.93891,-1.3442489,-0.27223524,-5.0932956,3.1889203,1.1462344
21720,0.64818805,-0.17722417,2.2478356,1.7652259,-1.593506,-0.05242811,1.8886937,-1.418996,0.9005963,-2.8202646,0.5116198,1.6647054,2.5182014,2.3372114,2.4827645,-0.59660536
7245,1.7313038,-3.560692,2.7521307,1.9950137,-0.77695125,-1.3828288,1.0909475,-2.0359151,-0.20507523,-5.089846,-2.7210302,-1.4382918,0.13833867,1.8479542,1.7462192,-1.2031013
9356,1.3870759,4.5600095,-0.4470035,-3.9736147,0.9392597,8.041207,-6.6416173,1.2484274,2.5049026,2.0044467,-3.3713665,-0.42004362,-1.0531206,-5.6319466,6.1921697,0.89792323
25314,-0.19441892,2.3065073,-3.4313788,-8.71008,1.3821359,-2.0576792,-0.34456146,3.777038,1.8950722,1.584724,1.0433929,2.8393013,-1.0937722,-0.07036318,1.4104083,5.1894717
7681,-4.8008237,3.7630033,-2.752357,-8.263391,-0.9564099,-1.9495124,-0.8616947,0.48893043,7.3773375,0.8820952,2.6001127,3.3137944,-1.6124561,-3.8810475,6.525626,3.630683
13207,-1.881046,2.5428984,-1.3841292,-3.0621643,-0.73545855,0.69142103,5.0340962,0.72950995,0.5346275,-2.6092026,-4.2998385,2.8923266,-2.5442216,0.7820234,3.204262,3.0056636
64411,1.8861259,0.61539483,-3.612985,1.8710568,4.642257,3.6965253,0.34906703,1.9429209,-3.4070902,-0.1495015,2.8679478,1.9468639,-1.5700796,-4.4030843,0.58384657,1.579081
43564,0.74763536,0.47396147,0.058442157,1.1927929,1.5521537,3.0552194,3.01809,1.5442603,-6.6512384,-0.4842854,3.5786085,2.09888,1.5882587,-0.72519034,-1.4373513,1.0219157
81786,-0.8883535,0.63896555,-3.6690676,-3.5415707,4.173389,4.0137525,-0.5409772,2.3540032,0.5681787,4.259958,1.8969793,0.73212504,0.5332035,-1.3677697,-6.8611817,5.243663
56635,4.048764,-1.2781839,-2.98204,-2.5885763,6.647957,-2.1619806,-1.1001638,1.4203789,-4.0263033,4.4189506,3.6722794,-0.0405789,-0.33091423,-5.426587,-0.8721358,5.271948
75785,-0.9735835,2.2027717,1.6032048,0.91040236,-0.6225529,4.747101,0.6267044,0.1680879,-1.4305556,-0.80972767,-0.6772038,1.8037568,2.122441,3.4744124,3.3221514,0.75974995
75568,1.1607715,-2.8246148,-3.3708808,-2.7674847,2.059019,2.9811268,2.649082,2.959205,1.1739721,0.86949456,6.173243,4.115046,-0.37642196,-4.804069,-3.7380831,3.852963
52232,-3.2237136,1.494076,0.5171393,-0.6702443,0.38449907,4.386491,-0.994386,0.7619654,-2.1411293,-1.6224617,1.3530022,1.933363,0.27421308,1.6177652,3.0634286,2.3058364
67480,-4.2488637,2.355785,-2.1908576,-0.47507462,2.190085,6.428591,0.2213156,1.8150771,-2.025289,4.802114,-0.09547574,1.4730927,-1.9725606,-1.9193544,1.2316127,3.7044504
3089,1.2318492,2.1506836,0.17793535,0.6439804,-1.8202158,1.0550362,2.4920757,0.59188944,2.2699971,-8.832714,3.098792,1.8922802,1.1671288,0.47672662,-1.0041605,-1.8397921
52532,-3.4077175,9.709852,-0.4172276,-9.727603,3.5578399,2.0866108,-14.04545,-2.302184,-1.0662496,6.1320004,2.4129708,2.1244407,-2.1701102,-5.1324754,2.199882,-1.121843
41318,0.5327205,2.4040484,1.2346804,0.39774,-0.93851966,2.5113435,1.5953122,0.8072371,-1.7822981,-2.4297001,2.6508708,2.0836122,2.2650125,2.9132016,3.5446815,-0.6530527
87064,-0.014088627,-1.9442768,-3.4613202,-0.901794,3.0682275,2.7962554,6.2961392,2.9427807,-3.0763264,4.714029,-0.50001043,3.0095599,-0.11786826,-4.7974257,-6.9801736,3.8434162
9562,-3.9686,0.37666073,-1.0483445,-1.879061,-0.73259264,-3.1754491,4.1014414,2.2181087,-1.96194,-4.2192445,1.9819586,3.3998282,-0.27578005,0.6304789,1.7418349,1.8055581
63841,-0.44924986,1.037576,0.19093211,0.6583717,-0.43820927,2.4026933,1.5150646,0.2194341,-0.7298096,-3.7417798,3.106506,3.2433636,2.8939726,1.6750815,1.5291259,0.42186102
42866,2.18773,0.50671923,3.5946476,3.264985,-0.25598082,4.3499746,0.4723062,-0.09784673,-4.307034,0.7841191,0.8512262,-0.15016112,2.069943,3.2229285,3.2558315,-0.56947285
23138,1.0713401,3.1554215,-1.4830902,-2.0879054,-0.41280323,4.09868,2.4453804,1.2285402,2.1819754,-5.8236737,-1.9108608,2.1119661,-2.2845724,2.0103133,1.166626,1.5965521
62642,0.37753883,1.0516499,1.8537725,0.9921091,-1.4196541,2.8983893,1.6430918,-0.32367018,-0.91225344,-0.8542429,1.1037264,2.8720357,2.8265097,4.756274,2.8095355,-0.20926432
3948,2.241327,0.6822276,0.8770919,0.6998035,-0.38931105,-0.09752284,3.3279335,0.36167413,-4.116043,-3.9407635,2.146098,2.392564,1.5272527,1.0177735,1.6406415,-1.098711
